:IngredientName,IngredientType,Unit,Recipe
:Names,,LOAD,default
SEQ_Enable,Discrete,SEQ_Enable,1
SEQ_StepName,Message,SEQ_StepName,---
SEQ_MaxTime,Analog,SEQ_MaxTime,0
SEQ_StepType,Analog,SEQ_StepType,1
SEQ_StepTime,Analog,SEQ_StepTime,0
SEQ_Rounds,Analog,SEQ_Rounds,0
SEQ_Values,Analog,SEQ_Values,0
SEQ_QWOT,Analog,SEQ_QWOT,0
SEQ_Wavelength,Analog,SEQ_Wavelength,500
SEQ_BBM_LayerNo,Analog,SEQ_BBM_LayerNo,1
SEQ_Testslide,Analog,SEQ_Testslide,1
SEQ_MaterialID,Message,SEQ_MaterialID,----
SEQ_RefractiveIndex,Analog,SEQ_RefractiveIndex,2
SEQ_SettlingTime,Analog,SEQ_SettlingTime,0
SEQ_GSA,Analog,SEQ_GSA,1
SEQ_TriggerFunction,Analog,SEQ_TriggerFunction,3
SEQ_Slits,Analog,SEQ_Slits,0.5
SEQ_Rate,Analog,SEQ_Rate,0
SEQ_RateReference,Analog,SEQ_RateReference,1
